iteration;avg_executed;avg_worst;avg_average;avg_best
0;119.16959876045279;119.16959876045279;119.16959876045279;119.16959876045279
1;119.16959876045279;119.16959876045279;119.16959876045279;119.16959876045279
2;119.16959876045279;119.16959876045279;119.16959876045279;119.16959876045279
3;119.22925435486306;119.16959876045279;119.19942655765793;119.22925435486306
4;50.2887061126491;50.2887061126491;96.22918640932166;119.22925435486306
5;119.22925435486306;50.2887061126491;101.979203395707;119.22925435486306
6;119.51382476869482;50.2887061126491;106.28437809109565;121.8900890908333
7;34.6070574911394;-31.957226428936075;78.42559478790554;121.8900890908333
8;119.51382476869482;-31.957226428936075;78.42559478790554;121.8900890908333
9;119.51382476869482;-31.957226428936075;78.42559478790554;121.8900890908333
10;119.51382476869482;-31.957226428936075;78.42559478790554;121.8900890908333
11;119.51382476869482;-31.957226428936075;78.42559478790554;121.8900890908333
12;120.82227923619833;-31.957226428936075;80.6268420840918;121.8900890908333
13;118.16144450022809;34.6070574911394;98.63223394922258;121.8900890908333
14;50.2887061126491;-31.957226428936075;87.25893356789305;121.8900890908333
15;119.22925435486306;34.6070574911394;98.63223394922258;121.8900890908333
16;119.22925435486306;34.6070574911394;98.63223394922258;121.8900890908333
17;119.22925435486306;34.6070574911394;98.63223394922258;121.8900890908333
18;119.22925435486306;34.6070574911394;98.63223394922258;121.8900890908333
19;119.22925435486306;34.6070574911394;98.63223394922258;121.8900890908333
20;119.79574583584551;34.6070574911394;102.72478713569981;121.8900890908333
21;119.79574583584551;34.6070574911394;102.72478713569981;121.8900890908333
22;119.79574583584551;34.6070574911394;102.72478713569981;121.8900890908333
23;119.79574583584551;34.6070574911394;102.84157812807261;121.8900890908333
24;118.49727362358115;35.91551195864291;105.74957893736978;121.8900890908333
25;119.22864371283137;118.49727362358115;119.74275985590384;121.8900890908333
26;118.49727362358115;118.49727362358115;119.74275985590384;121.8900890908333
27;119.22864371283137;119.16898811842108;119.86266635096521;121.8900890908333
28;106.32822943064255;106.26857383623229;117.60493834443108;121.8900890908333
29;119.22864371283137;119.16898811842108;119.86266635096521;121.8900890908333
30;119.22864371283137;119.16898811842108;119.86266635096521;121.8900890908333
31;121.8900890908333;119.16898811842108;120.19858162112953;121.8900890908333
32;121.8900890908333;119.16959876045279;120.39495542656559;121.8900890908333
33;121.8900890908333;119.16959876045279;120.39495542656559;121.8900890908333
34;121.8900890908333;119.16959876045279;120.39495542656559;121.8900890908333
35;121.8900890908333;119.16959876045279;120.39694394637928;121.8900890908333
36;121.15871900158308;118.49788426561284;120.28499153057263;121.8900890908333
37;121.8900890908333;119.22925435486306;120.40688654544766;121.8900890908333
38;50.2887061126491;50.2887061126491;108.72052313998122;121.8900890908333
39;119.22925435486306;119.22925435486306;120.40688654544763;121.8900890908333
40;119.22925435486306;119.22925435486306;120.40688654544763;121.8900890908333
41;119.22925435486306;119.22925435486306;120.40688654544763;121.8900890908333
42;119.22925435486306;119.22925435486306;120.40688654544763;121.8900890908333
43;119.22925435486306;119.22925435486306;120.40688654544763;121.8900890908333
44;119.25525560858873;116.59442087261849;119.9677476317402;121.8900890908333
45;121.8900890908333;119.22925435486306;120.40688654544763;121.8900890908333
46;36.25195172402766;36.25195172402766;106.38106407521099;121.8900890908333
47;121.8900890908333;119.22925435486306;120.40688654544763;121.8900890908333
48;121.8900890908333;119.22925435486306;120.40688654544763;121.8900890908333
49;121.8900890908333;119.22925435486306;120.40688654544763;121.8900890908333
50;121.8900890908333;119.22925435486306;120.40688654544763;121.8900890908333
