iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
16;10:59:48;10:59:48;10:59:48;10:59:48;10:59:49;10:59:49;;;10:59:49;10:59:49;10:59:50;10:59:50;10:59:51;10:59:51;10:59:51;10:59:51;10:59:51;10:59:51;;;10:59:52;10:59:52;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:03
17;10:59:52;10:59:52;10:59:52;10:59:52;10:59:53;10:59:53;;;10:59:53;10:59:53;10:59:53;10:59:53;10:59:56;10:59:56;10:59:56;10:59:56;10:59:56;10:59:56;;;10:59:56;10:59:56;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:04
18;10:59:56;10:59:56;10:59:56;10:59:56;10:59:57;10:59:57;;;10:59:57;10:59:57;10:59:57;10:59:57;10:59:59;10:59:59;10:59:59;10:59:59;10:59:59;10:59:59;;;11:00:00;11:00:00;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:03
19;11:00:00;11:00:00;11:00:00;11:00:00;11:00:00;11:00:00;;;11:00:00;11:00:00;11:00:01;11:00:01;11:00:02;11:00:02;11:00:02;11:00:02;11:00:02;11:00:02;;;11:00:04;11:00:04;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:01;00:00:04
20;11:00:04;11:00:04;11:00:04;11:00:04;11:00:05;11:00:05;11:00:05;11:00:05;11:00:05;11:00:05;11:00:05;11:00:05;11:00:07;11:00:07;11:00:07;11:00:07;11:00:07;11:00:07;11:00:07;11:00:07;11:00:15;11:00:15;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:07;00:00:10
21;11:00:15;11:00:15;11:00:15;11:00:15;11:00:15;11:00:15;;;11:00:15;11:00:15;11:00:16;11:00:16;11:00:18;11:00:18;11:00:18;11:00:18;11:00:18;11:00:18;;;11:00:18;11:00:18;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
22;11:00:18;11:00:18;11:00:18;11:00:18;11:00:19;11:00:19;;;11:00:19;11:00:19;11:00:19;11:00:19;11:00:21;11:00:21;11:00:21;11:00:21;11:00:21;11:00:21;;;11:00:21;11:00:21;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:02
23;11:00:21;11:00:21;11:00:21;11:00:21;11:00:22;11:00:22;;;11:00:22;11:00:22;11:00:22;11:00:22;11:00:24;11:00:24;11:00:24;11:00:24;11:00:24;11:00:24;;;11:00:24;11:00:24;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:03
24;11:00:24;11:00:24;11:00:24;11:00:24;11:00:24;11:00:24;;;11:00:24;11:00:24;11:00:25;11:00:25;11:00:27;11:00:27;11:00:27;11:00:27;11:00:27;11:00:27;;;11:00:27;11:00:27;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:00;00:00:02
25;11:00:27;11:00:27;11:00:27;11:00:27;11:00:28;11:00:28;;;11:00:28;11:00:28;11:00:28;11:00:28;11:00:30;11:00:30;11:00:30;11:00:30;11:00:30;11:00:30;;;11:00:30;11:00:30;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;;00:00:00;00:00:03
