pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
bike interaction---bike interaction	250	91	69	75	71	43	39	26	22	28	6	3	15
bike interaction---home	357	0	0	0	0	0	0	0	0	1	0	0	1
bike interaction---work	375	2	0	1	0	1	0	0	0	0	0	0	0
car interaction---car interaction	326	213	233	210	172	171	176	127	121	110	97	98	556
car interaction---home	1246	13	2	0	2	0	0	1	1	0	0	0	3
car interaction---work	1212	39	21	11	16	11	6	3	2	2	4	2	13
home---bike interaction	454	0	0	0	0	0	0	0	0	1	0	0	2
home---car interaction	1565	17	3	0	2	1	0	1	1	0	0	0	3
home---work	327	269	306	331	280	231	169	122	110	105	104	86	1129
work---bike interaction	376	2	0	1	0	1	0	0	0	0	0	0	0
work---car interaction	1212	39	21	11	16	11	6	3	2	2	4	2	13
work---home	326	261	307	310	300	236	172	119	115	107	87	97	1131

average leg duration: 1624.3481965350752 seconds = 00:27:04
