ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;982.2114502194144;982.2114502194144
1;982.2114502194144;982.2114502194144
2;982.2114502194144;982.2114502194144
3;982.2114502194144;982.2114502194144
4;982.2114502194144;982.2114502194144
5;982.2114502194144;982.2114502194144
6;982.2114502194144;982.2114502194144
7;982.2114502194144;982.2114502194144
8;982.2114502194144;982.2114502194144
9;982.2114502194144;982.2114502194144
10;982.2114502194144;982.2114502194144
