iteration;avg_executed;avg_worst;avg_average;avg_best
0;72.63761060099824;72.63761060099824;72.63761060099824;72.63761060099824
1;72.63761060099824;72.63761060099824;72.63761060099824;72.63761060099824
2;72.63761060099824;72.63761060099824;72.63761060099824;72.63761060099824
3;72.63761060099824;72.63761060099824;72.63761060099824;72.63761060099824
4;72.63761060099824;72.63761060099824;72.63761060099824;72.63761060099824
5;72.63761060099824;72.63761060099824;72.63761060099824;72.63761060099824
6;72.63761060099824;72.63761060099824;72.63761060099824;72.63761060099824
7;72.63761060099824;72.63761060099824;72.63761060099824;72.63761060099824
8;72.63761060099824;72.63761060099824;72.63761060099824;72.63761060099824
9;72.63761060099824;72.63761060099824;72.63761060099824;72.63761060099824
10;72.63761060099824;72.63761060099824;72.63761060099824;72.63761060099824
