pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
bike interaction---bike interaction	155	89	64	65	40	38	40	16	14	16	14	4	12
bike interaction---home	269	0	0	0	0	0	0	0	0	1	0	0	3
bike interaction---work	289	1	2	1	1	0	0	0	0	0	0	0	0
car interaction---car interaction	453	308	257	254	211	173	170	129	140	103	105	86	477
car interaction---home	1355	14	4	0	2	1	0	1	1	0	0	0	2
car interaction---work	1356	41	17	9	18	14	6	2	3	1	4	1	14
home---bike interaction	384	0	0	0	0	0	0	0	0	1	0	0	3
home---car interaction	1978	19	4	0	2	1	0	1	1	0	0	0	3
home---work	402	247	282	296	249	185	153	122	106	95	98	82	905
work---bike interaction	288	1	2	1	1	0	0	0	0	0	0	0	0
work---car interaction	1356	41	17	9	18	14	6	2	3	1	4	1	14
work---home	404	236	284	278	273	191	156	111	115	92	82	93	908

average leg duration: 1351.7319151369588 seconds = 00:22:31
