pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
bike interaction---bike interaction	254	82	61	65	57	58	55	22	32	11	10	9	22
bike interaction---home	354	0	0	0	1	0	0	0	0	1	0	0	0
bike interaction---work	375	2	2	0	1	1	0	0	0	0	0	0	1
car interaction---car interaction	339	221	236	227	182	164	169	132	135	128	104	95	536
car interaction---home	1272	11	3	0	1	1	0	1	1	0	0	0	3
car interaction---work	1255	39	19	9	14	10	5	3	2	1	3	1	14
home---bike interaction	443	1	0	0	1	0	0	0	0	1	0	0	1
home---car interaction	1588	15	3	0	2	1	0	1	1	0	0	0	3
home---work	325	270	297	330	279	230	176	135	119	111	113	85	1088
work---bike interaction	376	2	2	0	1	1	0	0	0	0	0	0	1
work---car interaction	1252	39	19	9	14	10	5	3	2	1	3	1	14
work---home	325	266	292	321	288	244	183	125	127	108	92	98	1091

average leg duration: 1563.7167248957512 seconds = 00:26:03
