pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
bike interaction---bike interaction	458	133	133	100	92	95	43	52	29	26	20	13	127
bike interaction---home	628	0	1	0	0	0	0	0	0	1	0	0	1
bike interaction---work	641	10	6	2	7	3	0	1	0	2	0	1	17
car interaction---car interaction	411	284	299	230	206	181	155	142	117	111	101	88	525
car interaction---home	1352	7	6	1	2	0	1	1	0	0	0	0	1
car interaction---work	1376	32	19	7	11	5	2	5	4	2	4	2	10
home---bike interaction	841	0	1	0	2	0	0	2	0	1	2	0	7
home---car interaction	1726	9	6	1	3	0	1	1	0	0	0	0	1
home---work	338	262	276	295	274	172	155	114	106	96	99	79	748
work---bike interaction	641	10	6	2	7	3	0	1	0	2	0	1	17
work---car interaction	1376	32	19	7	11	5	2	5	4	2	4	2	10
work---home	341	258	271	302	274	182	138	118	101	113	89	70	757

average leg duration: 1271.7926657263752 seconds = 00:21:11
