pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
bike interaction---bike interaction	120	26	51	34	30	20	30	9	14	17	7	3	49
bike interaction---home	183	0	1	1	1	1	0	0	0	0	0	0	3
bike interaction---work	208	2	2	0	0	0	1	0	2	1	0	0	4
car interaction---car interaction	548	383	346	281	257	237	195	162	139	126	95	95	408
car interaction---home	1512	6	1	0	0	0	2	2	1	1	0	2	4
car interaction---work	1593	54	13	15	12	6	10	5	3	1	3	0	26
home---bike interaction	230	1	1	1	1	1	0	2	1	2	0	0	9
home---car interaction	2307	10	5	0	0	0	2	4	1	1	0	2	4
home---work	497	310	337	348	352	231	203	116	106	114	89	84	920
work---bike interaction	208	2	2	0	0	0	1	0	2	1	0	0	4
work---car interaction	1593	54	13	15	12	6	10	5	3	1	3	0	26
work---home	496	294	346	350	351	243	185	151	106	93	91	76	925

average leg duration: 1291.761126060857 seconds = 00:21:31
