pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
bike interaction---bike interaction	278	94	100	90	86	84	51	37	19	19	15	8	114
bike interaction---home	466	0	0	0	1	0	0	0	0	1	0	0	4
bike interaction---work	476	7	7	3	4	1	1	1	2	0	1	0	20
car interaction---car interaction	449	303	312	236	234	191	187	132	137	113	94	96	494
car interaction---home	1399	7	5	1	2	0	0	1	0	0	0	0	1
car interaction---work	1440	36	24	8	16	3	4	4	5	0	6	2	14
home---bike interaction	639	0	1	0	2	0	0	2	0	1	2	0	7
home---car interaction	1896	9	6	1	3	0	1	1	0	0	0	0	1
home---work	415	272	279	287	252	164	153	113	100	95	96	78	742
work---bike interaction	476	7	7	3	4	1	1	1	2	0	1	0	20
work---car interaction	1440	36	24	8	16	3	4	4	5	0	6	2	14
work---home	412	259	292	286	259	174	141	116	99	104	88	68	748

average leg duration: 1272.6269055897299 seconds = 00:21:12
