pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
bike interaction---bike interaction	249	80	68	59	87	51	45	36	34	22	6	5	25
bike interaction---home	370	0	0	1	0	0	0	0	0	0	1	0	3
bike interaction---work	379	2	2	3	1	1	2	1	0	0	0	0	1
car interaction---car interaction	316	246	205	183	187	163	163	143	130	128	105	92	518
car interaction---home	1228	15	2	0	2	0	0	1	1	0	0	0	2
car interaction---work	1207	41	19	8	14	9	5	2	3	2	4	2	12
home---bike interaction	472	0	0	1	0	0	0	0	0	1	1	0	4
home---car interaction	1544	18	3	0	2	1	0	1	1	0	0	0	3
home---work	332	277	297	326	283	223	164	131	115	107	103	88	1121
work---bike interaction	379	2	2	3	1	1	2	1	0	0	0	0	1
work---car interaction	1208	41	19	8	14	9	5	2	3	2	4	2	12
work---home	329	269	301	317	293	226	177	123	120	103	85	99	1124

average leg duration: 1608.256392771906 seconds = 00:26:48
