pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
bike interaction---bike interaction	424	125	78	96	95	78	49	45	34	22	17	9	145
bike interaction---home	576	0	1	0	1	0	0	0	0	0	0	0	1
bike interaction---work	580	8	4	4	6	4	1	2	2	1	1	5	20
car interaction---car interaction	438	266	263	240	191	192	160	140	132	116	103	97	505
car interaction---home	1359	5	5	0	2	0	0	1	0	0	0	0	1
car interaction---work	1377	31	11	6	17	1	3	3	3	0	5	1	12
home---bike interaction	759	0	1	0	2	0	0	2	0	1	2	0	7
home---car interaction	1677	9	6	1	3	0	1	1	0	0	0	0	1
home---work	364	272	311	327	278	180	159	123	101	100	100	85	745
work---bike interaction	580	8	4	4	6	4	1	2	2	1	1	5	20
work---car interaction	1377	31	11	6	17	1	3	3	3	0	5	1	12
work---home	368	256	322	337	272	183	156	110	107	109	99	73	753

average leg duration: 1307.292401663946 seconds = 00:21:47
