pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
bike interaction---bike interaction	587	221	243	194	179	160	115	93	85	50	34	24	755
bike interaction---home	1138	9	9	7	4	3	4	4	5	12	11	4	78
bike interaction---work	1360	22	5	11	2	3	8	4	1	3	1	1	31
car interaction---car interaction	390	275	244	245	202	186	148	153	111	96	88	64	320
car interaction---home	1213	3	1	1	0	0	1	5	0	0	0	2	0
car interaction---work	1204	27	8	5	8	10	6	5	2	2	5	1	13
home---bike interaction	1582	20	14	10	8	6	7	8	8	16	12	4	115
home---car interaction	1497	5	2	1	0	0	1	6	0	0	0	2	1
home---work	351	235	298	266	268	199	161	102	77	94	78	63	775
work---bike interaction	1360	22	5	11	2	3	8	4	1	3	1	1	31
work---car interaction	1204	27	8	5	8	10	6	5	2	2	5	1	13
work---home	351	228	291	278	269	202	153	122	84	76	76	73	764

average leg duration: 1804.7709822022991 seconds = 00:30:04
