iteration;avg_executed;avg_worst;avg_average;avg_best
0;-10.787970129883433;-10.787970129883433;-10.787970129883433;-10.787970129883433
1;1.955267870428514;-4.394413999984628;-0.11589813306519707;4.16261773385422
2;6.677796808376133;-3.4526382881401014;4.170005568326213;11.5862058348047
3;8.898450029052109;-7.839086747103419;3.6213487904226636;14.953399421049221
4;10.871735595044566;-11.631890118105252;2.917569017971931;17.61566526113804
5;12.7540041508968;-14.958579075525925;2.6471624715682056;19.136076256129087
6;24.24870125813011;-12.825988449706738;10.034594051171016;32.29462326077225
7;21.952299064102103;-21.545426675171885;5.596206263794727;32.68515027660817
8;21.12623541414688;-29.103702577443578;2.8233344829364118;35.54665527217296
9;23.178841599161263;-32.434477003437344;2.584187083280715;36.00635002156273
10;26.603295679903308;-36.446891561776745;1.7648564627341452;38.00147582958081
11;28.83494415266581;-37.765742780104404;1.745415966776277;39.71455178632864
12;27.26838049470446;-40.70943551165488;0.8500196584736045;40.55208774586699
13;29.54297384622945;-43.26291974060633;1.0700822164917474;42.89909143091895
14;29.430635824780435;-46.66063126635296;1.0164909866367304;45.73231833835652
15;32.25269294790955;-48.900858808596176;2.567898406892634;52.68820436830398
16;29.362110098943784;-54.4366301669239;-1.472844173266528;49.26759995632399
17;34.34965291224955;-57.16535046412868;-0.9787843911815466;54.95114366069717
18;32.49872187883477;-59.88077734397665;-3.6400274600014364;49.88644344357769
19;28.41339648739437;-61.348995169123235;-4.681203986776384;51.790933249330436
20;30.667997751423503;-65.11416175577246;-7.218377412850819;49.912306132626135
