Iteration	bike	car	pt	walk
0	0.0	0.0	0.0	0.0
1	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0
6	0.0	0.0	0.0	0.0
7	0.0	0.0	0.0	0.0
8	0.0	0.0	0.0	0.0
9	0.005694963516639971	0.1990567716675565	0.2785193094856736	0.004894109272112476
10	0.006762769176009966	0.21436198611852642	0.32256629293468586	0.009343299519487454
11	0.01005516995906745	0.22859939491012635	0.3582487987186332	0.013792489766862431
12	0.01201281366791244	0.2395444029186688	0.38823634098594056	0.021267129382452395
13	0.01397045737675743	0.25093432995194875	0.4116390816871329	0.030432461292044848
14	0.017529809574657412	0.2576081153230112	0.4358426766328528	0.039508809396689805
15	0.021178145577504894	0.26837515572165865	0.4589784659192027	0.04787328706175476
16	0.023135789286349885	0.2766506495817761	0.4762413240790176	0.055525894287239724
17	0.025449368214984874	0.2830574835379961	0.4926143441893575	0.06282256629293469
18	0.02811888236340986	0.28955330129916357	0.509788218544225	0.07127602776294714
19	0.031055347926677343	0.29738387613454353	0.5240256273358249	0.07572521801032212
20	0.032568072610784836	0.30290087204128846	0.5370172628581598	0.08480156611496707
