iteration;avg_executed;avg_worst;avg_average;avg_best
0;4.540217473743099;4.540217473743099;4.540217473743099;4.540217473743099
1;18.39560857200169;12.633050033782807;16.866679592890545;21.100309151998296
2;22.15936971500589;5.205322373259352;16.591749753558386;27.976144288443564
3;26.445251905107124;5.114854609404663;20.305822055335575;35.46935049687394
4;26.41459289725682;-2.897876387822015;17.780428955526226;37.255729449964434
5;31.64589559430757;-8.800113544071278;20.06703318864821;46.96486313898409
6;30.273603983503403;-17.974419537084547;15.556023327944631;47.1985942739613
7;31.966756875431532;-22.680154436372693;15.131997664211012;51.51007577133019
8;35.60953468471678;-28.07281324283121;13.330652182942899;53.94381443180744
9;33.83120838662695;-31.32557312547382;12.195049643748316;53.03389314563634
10;35.379545325585546;-36.79305563395391;11.655680346653755;56.75094314821503
11;42.334792784466565;-39.2694831922201;12.928682455393735;61.7804637780003
12;45.780324398904334;-42.58980660039796;13.764501680816647;64.85356600353838
13;44.06292455762759;-46.38007881073446;12.747835620715808;66.51288114178699
14;41.287928555802125;-48.66020801974305;11.590241203253823;67.71759719073722
15;47.22418237332682;-49.57719369692611;13.463984705624114;73.93325534523544
16;48.09567360917374;-53.68231776241967;12.496405497125975;75.7447263165103
17;47.035784893692785;-55.25208479289431;10.99106885167908;72.65738589873885
18;46.89349917965496;-58.83225196887034;8.426010154850642;72.77857798755826
19;46.60948447469996;-58.49376131943285;9.218259626399787;76.87645147558196
20;51.330928111555835;-60.856795581835065;10.079575509328677;78.5177554890255
