Iteration	bike	car	pt	walk
0	0.03719523046805481	0.3801388147357181	0.5582843922406122	0.02438156255561488
1	0.07376757430147714	0.391706709378893	0.5718099305926322	0.06228866346324969
2	0.10615767930236697	0.402384765972593	0.5879159992881295	0.09200925431571454
3	0.13694607581420182	0.41083822744260545	0.6033991813489945	0.12573411639081686
4	0.16880227798540665	0.4214273002313579	0.6178145577504894	0.1631073144687667
5	0.1954974194696565	0.42836803701726284	0.6325858693717743	0.19131518063712405
6	0.21961203061042892	0.4364655632674853	0.6464673429435843	0.2189001601708489
7	0.2435486741413063	0.4454529275671828	0.6596369460758142	0.2413240790176188
8	0.2679302366969212	0.45274959957287775	0.6704929702794091	0.2646378359138637
9	0.2907990745684286	0.4595123687488877	0.682416800142374	0.2852820786616836
10	0.3126890905855134	0.4652073322655277	0.6908702616123865	0.3032568072610785
11	0.33244349528385836	0.47241502046627515	0.7011923829862965	0.3249688556682684
12	0.35086314290799075	0.4772201459334401	0.7092009254315714	0.3452571631962983
13	0.36510055169959066	0.4817583199857626	0.7179213383164265	0.3634098594055882
14	0.3807617013703506	0.4862075102331376	0.7243281722726463	0.38218544224951057
15	0.39499911016195055	0.4926143441893575	0.7312689090585514	0.39695675387079554
16	0.41057127602776294	0.4983093077059975	0.7374087915999288	0.40914753514860297
17	0.4258764904787329	0.5015127246841075	0.7432817227264638	0.42249510589072786
18	0.4418935753692828	0.5052500444919025	0.7488877024381563	0.43432995194874535
19	0.4558640327460402	0.5091653319095925	0.7532479088805837	0.44865634454529274
20	0.46921160348816515	0.5143263925965474	0.7587649047873287	0.46147001245773267
21	0.47793201637302013	0.5169959067449724	0.7633920626445987	0.47205908524648516
22	0.48798718633208754	0.5203772913329774	0.7685531233315537	0.48309307705997506
23	0.4958177611674675	0.5246485139704574	0.7728243459690336	0.4928812956042
24	0.5034703683929524	0.5280298985584624	0.7758497953372486	0.50177967609895
25	0.5137035059619149	0.5305214450969924	0.7811888236340986	0.5092543157145399
26	0.5201993237230824	0.5331909592454174	0.7843922406122086	0.51672895533013
27	0.5301655098772023	0.5355935219789998	0.7874176899804236	0.5246485139704574
28	0.5372842142730023	0.5392418579818473	0.7915109450080086	0.5326570564157324
29	0.5438690158391173	0.5431571453995373	0.7952482648158036	0.5383520199323724
30	0.5509877202349173	0.5458266595479623	0.7984516817939135	0.5449368214984873
31	0.5570386189713472	0.5486741413062822	0.8021890016017085	0.5505428012101797
32	0.5632674853176722	0.5508097526250223	0.805125467164976	0.5573055703861897
33	0.5698522868837872	0.5520555258942872	0.808328884143086	0.5617547606335647
34	0.5735006228866346	0.5538352019932372	0.8115323011211959	0.5682505783947321
35	0.5775938779142196	0.5557928457020822	0.8134899448300409	0.5738565581064247
36	0.582132051966542	0.5577504894109272	0.8176721836625734	0.5780387969389571
37	0.587293112653497	0.5589962626801922	0.8194518597615233	0.5823100195764371
38	0.5908524648513971	0.5598861007296672	0.8215874710802634	0.5869371774337071
39	0.5948567360740346	0.5620217120484072	0.8231891795693184	0.590674497241502
40	0.5989499911016195	0.5639793557572522	0.8250578394732159	0.5948567360740346
41	0.604022067983627	0.5650471614166221	0.8266595479622708	0.5980601530521445
42	0.6069585335468944	0.5663819184908346	0.8290621106958533	0.6014415376401495
43	0.6101619505250044	0.5676276917600996	0.8311977220145933	0.6046449546182595
44	0.6128314646734294	0.5685175298095747	0.8320875600640684	0.6082043068161594
45	0.6155009788218544	0.5696743192738921	0.8331553657234383	0.6105178857447945
46	0.6174586225306994	0.5710980601530521	0.8338672361630183	0.6122975618437444
47	0.6199501690692294	0.5718099305926322	0.8342231713828083	0.6149670759921694
48	0.6226196832176544	0.5721658658124221	0.8352909770421784	0.6172806549208044
49	0.6243993593166044	0.5732336714717922	0.8360028474817583	0.6188823634098594
50	0.6259120840007119	0.5739455419113721	0.8367147179213383	0.6221747641929168
