iteration;avg_executed;avg_worst;avg_average;avg_best
0;60.4063033540982;60.4063033540982;60.4063033540982;60.4063033540982
1;59.52393720623767;47.95224691816978;60.20549950305858;72.4587520879476
2;61.714917640293145;34.64060881455846;59.587542395636405;82.91197066094404
3;65.91142824384576;23.031078654397362;60.513947284967514;92.81873668874707
4;73.46767545338479;11.072539527206441;61.10468690226535;100.3006685828233
5;74.26792919600996;-2.192077525145575;59.01411548219883;104.47060491330274
6;80.03031713177687;-11.499019980146691;58.930437993418586;108.39254914251984
7;81.46655589857386;-19.75824517091278;58.916743126580606;111.0610886984233
8;80.77611409260915;-27.399170894972933;56.913396710497764;111.32213308265598
9;83.52739284432442;-31.429119073271657;58.18052997814223;113.51843744180721
10;85.0443832824965;-35.71665724824387;59.31502068671015;116.00375009575625
11;83.81145798187524;-38.54349348140734;60.48198652575286;116.01560023009574
12;87.40096503888614;-37.00564960612774;62.76336441718922;118.21213374905622
13;87.95887608022275;-34.785576449142766;64.64299332472353;119.2427770738385
14;88.63019272218129;-28.511525376839618;67.60017942329509;119.28497938030092
15;87.70729635714783;-24.06656522686769;69.55716128239527;119.33700864623137
16;87.91410223025647;-19.97211524346593;72.09869790322954;120.08336467492566
17;92.24047859357323;-16.0774177063492;74.90619991588942;120.10722426513384
18;95.27489780153675;-8.68323852501371;78.07245621512311;120.39283445341817
19;95.17336246400792;0.7685120613602904;81.39129959815007;121.06996695203301
20;92.85879215711276;6.718321839438805;83.79296831647538;121.01077568126139
21;95.73701785035175;14.986326636132468;86.70272580200832;121.42034136805414
22;95.9535755231767;20.555580581231904;89.14838460250708;121.54931432457103
23;97.9054509421558;28.068561523994873;91.65633170753192;121.66832874655321
24;97.33129092653247;32.90832108209144;93.70183308111075;121.75332246970255
25;99.7173254104616;37.18889188393821;95.87296386722956;122.11032759291322
26;98.7614502988405;41.88281224785458;97.60784129646146;122.04692895038853
27;97.74975064853341;45.537597935549016;98.79451321001517;122.19881146135995
28;99.53541957828423;48.2071829809326;100.37988256986698;122.27698106862702
29;100.30446898899226;53.730671151503245;101.99879606350612;122.34042595754818
30;98.22652637969297;55.52192999075466;102.96074720744619;122.5270528898791
31;99.64789968935322;58.323055120563076;104.11180650251212;122.5726248746387
32;99.07008701724385;61.96015485708615;105.25647055631744;122.63029840629818
33;103.43887117730566;66.49447444788616;106.65834552649306;122.5056893917968
34;99.71617210425872;65.10951289896167;106.76769934653443;122.4410157682722
35;103.57744722543995;71.72821018501132;108.3983684310796;122.7266298879223
36;105.03259790398853;73.90044210074527;109.42880198426715;122.5415878307433
37;104.30251413933087;76.33048470431173;110.21328031169756;122.45434341958307
38;104.60517424453334;79.98042242505343;111.26070715172466;122.48323149013208
39;103.02487470424964;78.75863715752416;111.44022517639567;122.74579082955869
40;102.16334556379367;80.00722831006458;111.93471091877876;122.91190901687602
41;105.7642219129586;83.02952627019438;112.83416595411924;122.94955903825952
42;106.3691595784963;84.86667608807005;113.34373646435921;122.99898562069959
43;106.0757155598808;86.80354425300847;113.91819425458024;122.92547618772161
44;104.66208795207102;86.53270740477517;114.04152227231943;122.96422579405592
45;105.72674355880648;86.9147465975083;114.31655342535424;123.11386298368383
46;106.65642572726021;89.84974535295491;114.99137745610193;123.16174413065269
47;107.22252530402848;90.90084644625979;115.2370840060605;123.17847909070234
48;105.98925585558214;89.44597297068593;115.06692657487936;123.24153953055034
49;109.38300144232329;92.76239428380845;115.8412719245828;123.25061224826824
50;106.15472451244817;91.14653596927464;115.59715208108486;123.2846826140099
