iteration;bike;car;pt;walk
0;0.04271982912068352;0.37682449270202917;0.5496618013527946;0.0307938768244927
1;0.09469562121751512;0.3558205767176931;0.518689925240299;0.0307938768244927
2;0.11641153435386259;0.34140263438946244;0.5113919544321822;0.0307938768244927
3;0.13332146671413314;0.33285866856532575;0.5030259878960485;0.0307938768244927
4;0.14400142399430402;0.3285866856532574;0.4966180135279459;0.0307938768244927
5;0.13901744393022428;0.3230687077251691;0.5071199715201139;0.0307938768244927
6;0.14293342826628694;0.31808472766108936;0.508187967248131;0.0307938768244927
7;0.14595941616233535;0.31666073335706657;0.5065859736561054;0.0307938768244927
8;0.15236739053043788;0.3111427554289783;0.5056959772160912;0.0307938768244927
9;0.1468494126023496;0.3127447490210039;0.5096119615521538;0.0307938768244927
10;0.1423994304022784;0.30722677109291563;0.5195799216803133;0.0307938768244927
11;0.1447134211463154;0.30615877536489855;0.5183339266642933;0.0307938768244927
12;0.13777144891420434;0.3024207903168387;0.5290138839444642;0.0307938768244927
13;0.13118547525809895;0.30064079743681027;0.5373798504805981;0.0307938768244927
14;0.13474546101815593;0.2979708081167675;0.5364898540405838;0.0307938768244927
15;0.1238875044499822;0.2960128159487362;0.5493058027767889;0.0307938768244927
16;0.12335350658597366;0.2993948024207903;0.5464578141687433;0.0307938768244927
17;0.1297614809540762;0.29761480954076186;0.5418298326806693;0.0307938768244927
18;0.12264150943396226;0.2981488074047704;0.5484158063367747;0.0307938768244927
19;0.11730153079387683;0.29405482378070485;0.5578497686009256;0.0307938768244927
20;0.1156995372018512;0.2903168387326451;0.563189747241011;0.0307938768244927
