iteration;avg_executed;avg_worst;avg_average;avg_best
0;46.56720815300149;46.56720815300149;46.56720815300149;46.56720815300149
1;46.33847093585144;36.13179444396784;48.181793376044105;60.23179230812091
2;47.231411393267706;23.616953631829436;47.02955087824059;68.383868996052
3;46.5814562595573;8.219775462909482;43.33453330976098;72.85326441561698
4;42.89717484414226;-8.361246107665949;39.164103469618105;77.04857522646518
5;47.40548584747019;-21.50053447895052;37.40199111897558;81.02545769496301
6;51.903785395275975;-32.180640493193984;37.32580937758382;86.73931357215265
7;51.91689625525019;-44.07903212719541;33.98824135014023;87.69442818392453
8;52.871967283116405;-53.28742975374367;32.45195022808358;89.70448381630742
9;56.27968655375024;-58.715571867099875;32.61593001357054;92.02243872429378
10;57.848015290067686;-63.73948356670202;32.24054474761766;92.24847486468275
11;55.33247210823714;-66.47447617786277;32.80269343648781;93.1575944611067
12;59.654482269995356;-64.92711460083335;34.798508675599095;94.8792455329139
13;63.6960745785762;-58.769604351426324;37.671789390665154;96.07750777268939
14;63.22629727491717;-55.45893334805445;40.27165285457427;97.28219279169164
15;63.59296513050224;-52.97236184784025;42.72198502225147;99.82135755168385
16;62.968090552448515;-50.99760314721086;43.66029033871006;98.86699335084616
17;63.55482036178821;-43.89194717223498;46.575102590279016;100.53864417774496
18;63.27115724881319;-37.08088915228596;48.171190536027666;99.06879179105336
19;64.00695564777078;-32.30100799648104;50.43619293415729;99.60146681213904
20;68.83024687393565;-25.494175614418605;52.96252799347725;99.36600541641315
