pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
bike interaction---bike interaction	227	94	79	70	65	68	39	22	16	18	14	8	20
bike interaction---home	356	1	0	0	0	0	0	0	0	1	0	0	2
bike interaction---work	369	3	3	0	0	1	1	0	0	0	0	0	3
car interaction---car interaction	374	232	252	213	193	167	158	142	155	122	88	88	501
car interaction---home	1269	15	2	0	1	1	0	1	1	0	0	0	3
car interaction---work	1268	42	18	11	15	10	6	2	2	1	3	2	12
home---bike interaction	464	1	0	0	0	0	0	0	0	1	0	0	3
home---car interaction	1692	18	3	0	2	1	0	1	1	0	0	0	3
home---work	326	272	299	297	247	202	161	135	111	105	102	88	1084
work---bike interaction	369	3	3	0	0	1	1	0	0	0	0	0	3
work---car interaction	1267	42	18	11	15	10	6	2	2	1	3	2	12
work---home	327	257	306	291	258	211	165	126	114	104	85	99	1087

average leg duration: 1542.8305036785512 seconds = 00:25:42
