pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
bike interaction---bike interaction	263	95	77	66	78	50	39	24	16	21	8	5	16
bike interaction---home	359	0	0	0	0	0	0	0	0	1	0	0	2
bike interaction---work	390	1	4	0	0	0	1	0	0	0	0	0	0
car interaction---car interaction	332	254	228	221	179	181	162	144	151	140	93	111	511
car interaction---home	1295	14	2	0	0	0	0	1	1	0	0	0	3
car interaction---work	1258	43	21	10	15	11	5	3	4	2	4	2	13
home---bike interaction	487	1	0	0	0	0	0	0	0	1	0	0	2
home---car interaction	1623	15	3	0	2	1	0	1	1	0	0	0	3
home---work	329	259	288	301	283	206	148	120	110	107	109	89	1130
work---bike interaction	388	1	4	0	0	0	1	0	0	0	0	0	0
work---car interaction	1258	43	21	10	15	11	5	3	4	2	4	2	13
work---home	330	253	289	283	291	220	160	110	113	106	93	100	1133

average leg duration: 1599.9421835531855 seconds = 00:26:39
