pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
bike interaction---bike interaction	218	88	70	52	47	42	46	19	13	24	13	15	17
bike interaction---home	314	0	0	1	0	0	0	0	0	1	0	0	3
bike interaction---work	341	1	1	2	0	0	0	0	0	0	0	0	0
car interaction---car interaction	318	216	206	182	182	165	181	131	133	128	110	97	534
car interaction---home	1241	10	3	0	1	1	0	1	1	0	0	0	2
car interaction---work	1188	38	20	12	18	12	6	2	4	2	5	2	14
home---bike interaction	406	0	0	1	0	0	0	0	0	1	0	0	3
home---car interaction	1505	17	3	0	2	1	0	1	1	0	0	0	3
home---work	333	282	330	349	315	234	180	133	117	100	109	86	1107
work---bike interaction	337	1	1	2	0	0	0	0	0	0	0	0	0
work---car interaction	1190	38	20	12	18	12	6	2	4	2	5	2	14
work---home	332	279	327	338	322	249	187	122	121	100	91	98	1111

average leg duration: 1629.928505957837 seconds = 00:27:09
