pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
bike interaction---bike interaction	197	105	66	88	59	58	48	21	28	13	10	11	14
bike interaction---home	342	0	0	0	0	0	0	0	0	1	0	0	1
bike interaction---work	367	0	2	2	1	1	0	0	0	0	0	0	1
car interaction---car interaction	406	264	278	220	207	169	168	142	143	111	106	92	473
car interaction---home	1327	10	2	0	2	0	0	1	0	0	0	0	2
car interaction---work	1308	40	18	11	17	11	5	2	2	1	5	1	14
home---bike interaction	487	0	0	0	0	0	0	0	0	1	0	0	1
home---car interaction	1828	17	4	0	2	1	0	1	1	0	0	0	3
home---work	356	259	290	277	249	193	144	122	103	99	101	81	999
work---bike interaction	365	0	2	2	1	1	0	0	0	0	0	0	1
work---car interaction	1309	40	18	11	17	11	5	2	2	1	5	1	14
work---home	356	248	297	262	264	198	151	111	109	97	87	92	1002

average leg duration: 1446.1445606103418 seconds = 00:24:06
