pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
bike interaction---bike interaction	362	131	122	94	79	77	42	42	32	22	15	10	163
bike interaction---home	561	0	0	0	1	0	0	1	0	1	0	0	3
bike interaction---work	559	15	4	7	5	1	1	2	0	3	1	1	25
car interaction---car interaction	431	287	291	239	224	182	182	122	132	100	95	100	488
car interaction---home	1357	7	3	1	3	0	1	1	0	0	0	0	1
car interaction---work	1387	35	22	8	11	3	3	4	3	0	6	2	15
home---bike interaction	766	0	1	0	2	0	0	2	0	1	2	0	7
home---car interaction	1793	9	6	1	3	0	1	1	0	0	0	0	1
home---work	386	254	281	295	270	172	148	109	101	92	92	79	743
work---bike interaction	559	15	4	7	5	1	1	2	0	3	1	1	25
work---car interaction	1387	35	22	8	11	3	3	4	3	0	6	2	15
work---home	384	247	280	303	274	181	136	106	101	105	86	69	750

average leg duration: 1306.1672224868985 seconds = 00:21:46
